Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,25,4,4,0,0
Max Verstappen,49,1,1,1,1
Valtteri Bottas,37,5,2,0,1
Sergio Perez,14,3,6,0,0
Daniel Ricciardo,19,13,7,0,0
Charles Leclerc,15,12,8,0,0
Sebastian Vettel,4,8,DNF,0,0
Fernando Alonso,17,14,10,0,1
Carlos Sainz,28,11,5,0,1
Lance Stroll,0,10,13,0,1
Lando Norris,31,2,3,0,1
Piere Gasly,15,6,9,0,1
Esteban Ocon,-14,17,DNF,0,0
Kimi Raikkonen,2,16,15,0,0
Yuki Tsunoda,-2,7,12,0,0
Antonio Giovinazzi,10,15,14,0,1
Nicholas Latifi,8,18,16,0,0
George Russell,5,9,11,0,1
Mick Schumacher,9,19,18,0,1
Nikita Mazepin,4,20,19,0,0
