Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,5,2,15,0,0
Max Verstappen,9,3,DNF,1,0
Valtteri Bottas,4,10,12,0,1
Sergio Perez,51,7,1,0,1
Daniel Ricciardo,13,13,9,0,0
Charles Leclerc,25,1,4,0,1
Sebastian Vettel,36,11,2,0,1
Fernando Alonso,23,9,6,0,1
Carlos Sainz,8,5,8,0,0
Lance Stroll,-20,NC,DNF,0,0
Lando Norris,32,6,5,0,1
Piere Gasly,43,4,3,0,1
Esteban Ocon,-13,12,DNF,0,0
Kimi Raikkonen,17,14,10,0,1
Yuki Tsunoda,13,8,7,0,0
Antonio Giovinazzi,6,NC,11,0,0
Nicholas Latifi,5,16,16,0,1
George Russell,3,15,17,0,0
Mick Schumacher,15,17,13,0,1
Nikita Mazepin,10,18,14,0,0
