Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,45,2,1,0,1
Max Verstappen,35,1,2,0,1
Valtteri Bottas,32,3,3,1,0
Sergio Perez,23,11,5,0,0
Daniel Ricciardo,15,6,7,0,0
Charles Leclerc,20,4,6,0,1
Sebastian Vettel,12,18,15,0,0
Fernando Alonso,-8,9,DNF,0,0
Carlos Sainz,11,8,8,0,0
Lance Stroll,11,10,10,0,1
Lando Norris,29,7,4,0,1
Piere Gasly,2,5,DNF,0,0
Esteban Ocon,11,16,13,0,1
Kimi Raikkonen,12,14,11,0,1
Yuki Tsunoda,16,13,9,0,1
Antonio Giovinazzi,5,12,12,0,0
Nicholas Latifi,1,17,DNF,0,0
George Russell,10,15,14,0,1
Mick Schumacher,11,19,16,0,1
Nikita Mazepin,-14,20,DNF,0,0
