Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,32,3,3,0,1
Max Verstappen,49,1,1,0,1
Valtteri Bottas,9,8,12,0,0
Sergio Perez,-2,7,19,0,0
Daniel Ricciardo,28,4,4,0,1
Charles Leclerc,14,11,8,0,1
Sebastian Vettel,25,5,5,0,1
Fernando Alonso,5,14,11,0,0
Carlos Sainz,16,13,10,0,0
Lance Stroll,2,15,20,0,0
Lando Norris,7,10,14,0,0
Piere Gasly,22,6,6,0,1
Esteban Ocon,19,9,7,0,1
Kimi Raikkonen,6,19,18,0,0
Yuki Tsunoda,4,17,15,0,0
Antonio Giovinazzi,9,16,13,0,1
Nicholas Latifi,7,12,9,0,0
George Russell,36,2,2,0,1
Mick Schumacher,9,18,16,0,1
Nikita Mazepin,4,20,17,1,0
