Driver Name,Bahrain GP,Imola GP,Portugal GP,Spain GP,Monaco GP,Azerbaijan GP,French GP,Styrian GP,Austrian GP,British GP,Hungarian GP,Belgian GP,Dutch GP,Italian GP,Russian GP,Turkish GP,USA GP,Mexican GP
Lewis Hamilton,33.5,33.4,33.4,33.3,33.3,33.3,33.2,33.1,33.1,33,33,33,33,33,33,33,33.1,33
Max Verstappen,24.8,25.1,25.2,25.3,25.3,25.4,25.5,25.5,25.6,25.7,25.7,25.7,25.7,25.7,25.7,25.6,25.6,25.7
Valtteri Bottas,23.6,23.5,23.4,23.2,23.3,23.1,23,23,23,23,23,23.1,23,23,23,23.4,23.3,23.2
Sergio Perez,18.4,18.4,18.3,18.3,18.2,18,18.3,18.5,18.8,18.8,18.8,18.6,18.5,18.5,18.4,18.3,18.2,18.4
Daniel Ricciardo,17.3,16.7,16.6,16.4,16.2,16.2,16,15.9,15.9,15.8,15.8,15.8,15.7,15.7,15.7,15.8,15.8,15.8
Charles Leclerc,16.8,17.4,17.6,17.8,18,18.3,18.3,17.9,17.6,17.5,17.5,17.7,17.6,17.7,17.7,17.6,17.7,17.6
Sebastian Vettel,16.2,15.4,15.2,15.1,15,14.9,14.9,15.1,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.2,15.1
Fernando Alonso,15.6,15.2,15,15,15,14.8,14.8,14.8,14.8,14.8,14.8,14.9,15,15.2,15.2,15.1,15.1,15.1
Carlos Sainz,14.4,14.3,14.3,14.4,14.3,14.6,14.7,14.7,14.3,14.3,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.7
Lance Stroll,13.9,13.6,13.6,13.6,13.5,13.4,13.4,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
Lando Norris,13.1,13.4,13.6,13.7,13.9,13.9,13.9,13.9,14,14,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2
Piere Gasly,11.7,11.7,11.7,11.7,11.6,11.5,11.7,11.8,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12,11.9
Esteban Ocon,10.1,9.7,9.6,10,10.4,10.5,10.4,10.4,10.3,10.1,10.1,10.1,10.2,10.2,10.3,10.3,10.2,10.2
Kimi Raikkonen,9.6,9.4,9.4,9.4,9.3,9.4,9.3,9.3,9.3,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1
Yuki Tsunoda,8.8,9.4,9.4,9.2,8.8,8.5,8.4,8.4,8.4,8.5,8.5,8.4,8.4,8.3,8.3,8.3,8.2,8.2
Antonio Giovinazzi,7.9,7.8,7.8,7.8,7.8,7.9,8,8,8,8,8,8,8,8,8,8,8,8
Nicholas Latifi,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
George Russell,6.2,6.2,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3
Mick Schumacher,5.8,5.7,5.7,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.7
Nikita Mazepin,5.5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
