Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,45,1,2,0,1
Max Verstappen,9,3,9,0,1
Valtteri Bottas,-3,2,DNF,0,0
Sergio Perez,0,4,DNF,0,0
Daniel Ricciardo,6,11,11,0,1
Charles Leclerc,-6,7,DNF,0,0
Sebastian Vettel,-14,10,DSQ,0,0
Fernando Alonso,28,9,4,0,0
Carlos Sainz,31,15,3,0,1
Lance Stroll,-10,12,DNF,0,0
Lando Norris,-5,6,DNF,0,0
Piere Gasly,30,5,5,1,1
Esteban Ocon,47,8,1,0,1
Kimi Raikkonen,15,13,10,0,1
Yuki Tsunoda,20,16,6,0,0
Antonio Giovinazzi,5,14,13,0,0
Nicholas Latifi,21,18,7,0,1
George Russell,18,17,8,0,0
Mick Schumacher,9,NC,12,0,1
Nikita Mazepin,-12,19,DNF,0,0
