Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,40,1,2,1,1
Max Verstappen,44,3,1,0,1
Valtteri Bottas,-9,8,DNF,0,0
Sergio Perez,5,2,11,0,0
Daniel Ricciardo,19,6,6,0,0
Charles Leclerc,28,4,4,0,1
Sebastian Vettel,1,13,DNF,0,0
Fernando Alonso,14,15,10,0,0
Carlos Sainz,23,11,5,0,0
Lance Stroll,18,10,8,0,1
Lando Norris,34,7,3,0,1
Piere Gasly,17,5,7,0,1
Esteban Ocon,13,9,9,0,1
Kimi Raikkonen,13,16,13,0,1
Yuki Tsunoda,6,20,12,0,0
Antonio Giovinazzi,8,17,14,0,0
Nicholas Latifi,-13,14,DNF,0,0
George Russell,-11,12,DNF,0,1
Mick Schumacher,11,18,16,0,1
Nikita Mazepin,6,19,17,0,0
