Driver Name,Fantasy Points,Qualifying Position,Sprint Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,1,2,5,DNF,0,0
Max Verstappen,14,3,2,DNF,0,0
Valtteri Bottas,57,1,1,3,0,1
Sergio Perez,28,9,9,5,0,1
Daniel Ricciardo,58,5,3,1,1,1
Charles Leclerc,34,8,6,4,0,1
Sebastian Vettel,4,11,12,12,0,0
Fernando Alonso,21,13,11,8,0,1
Carlos Sainz,23,7,7,6,0,0
Lance Stroll,22,12,10,7,0,1
Lando Norris,41,4,4,2,0,0
Piere Gasly,-10,6,NC,DNF,0,1
Esteban Ocon,20,14,13,10,0,0
Kimi Raikkonen,10,19,18,14,0,0
Yuki Tsunoda,-10,17,16,DNF,0,0
Antonio Giovinazzi,8,10,8,13,0,1
Nicholas Latifi,11,16,14,11,0,0
George Russell,21,15,15,9,0,1
Mick Schumacher,13,18,19,15,0,1
Nikita Mazepin,-8,20,17,DNF,0,0
