Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,37,7,7,1,1
Max Verstappen,60,2,1,0,1
Valtteri Bottas,3,3,DNF,0,0
Sergio Perez,28,9,4,0,0
Daniel Ricciardo,3,12,12,0,0
Charles Leclerc,5,1,DNS,0,0
Sebastian Vettel,28,8,5,0,1
Fernando Alonso,10,17,13,0,0
Carlos Sainz,36,4,2,0,1
Lance Stroll,17,13,8,0,0
Lando Norris,49,5,3,0,1
Piere Gasly,22,6,6,0,1
Esteban Ocon,14,11,9,0,1
Kimi Raikkonen,9,14,11,0,0
Yuki Tsunoda,2,16,16,0,0
Antonio Giovinazzi,11,10,10,0,1
Nicholas Latifi,8,18,15,0,0
George Russell,10,15,14,0,1
Mick Schumacher,0,20,17,0,0
Nikita Mazepin,11,19,18,0,1
