Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,41,2,2,1,1
Max Verstappen,44,1,1,0,1
Valtteri Bottas,27,3,3,0,0
Sergio Perez,16,16,8,0,0
Daniel Ricciardo,5,10,11,0,0
Charles Leclerc,25,5,5,0,1
Sebastian Vettel,6,17,13,0,0
Fernando Alonso,23,9,6,0,1
Carlos Sainz,13,6,7,0,0
Lance Stroll,8,12,12,0,1
Lando Norris,13,13,10,0,1
Piere Gasly,28,4,4,0,1
Esteban Ocon,9,8,9,0,0
Kimi Raikkonen,4,18,15,0,0
Yuki Tsunoda,-13,15,DNF,0,0
Antonio Giovinazzi,3,7,14,0,1
Nicholas Latifi,14,14,16,0,1
George Russell,0,11,DNF,0,0
Mick Schumacher,6,19,18,0,1
Nikita Mazepin,-14,20,DNF,0,0
