Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,43,2,1,0,1
Max Verstappen,37,3,2,0,1
Valtteri Bottas,32,1,3,1,0
Sergio Perez,23,4,4,0,0
Daniel Ricciardo,14,16,9,0,0
Charles Leclerc,22,8,6,0,1
Sebastian Vettel,4,10,13,0,1
Fernando Alonso,17,13,8,0,0
Carlos Sainz,2,5,11,0,0
Lance Stroll,8,17,14,0,0
Lando Norris,27,7,5,0,1
Piere Gasly,10,9,10,0,1
Esteban Ocon,18,6,7,0,1
Kimi Raikkonen,-13,15,DNF,0,0
Yuki Tsunoda,2,14,15,0,0
Antonio Giovinazzi,8,12,12,0,1
Nicholas Latifi,2,18,18,0,0
George Russell,3,11,16,0,1
Mick Schumacher,11,19,17,0,1
Nikita Mazepin,4,20,19,0,0
