Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,52,4,1,0,1
Max Verstappen,33,20,2,0,1
Valtteri Bottas,33,7,5,0,0
Sergio Perez,8,9,9,0,0
Daniel Ricciardo,27,5,4,0,1
Charles Leclerc,11,15,15,0,0
Sebastian Vettel,-1,11,12,0,0
Fernando Alonso,22,6,6,0,1
Carlos Sainz,31,2,3,0,1
Lance Stroll,4,8,11,0,1
Lando Norris,17,1,7,1,0
Piere Gasly,6,12,13,0,1
Esteban Ocon,-5,10,14,0,0
Kimi Raikkonen,21,16,8,0,1
Yuki Tsunoda,-2,13,17,0,0
Antonio Giovinazzi,4,18,16,0,0
Nicholas Latifi,0,14,DNF,0,0
George Russell,8,3,10,0,1
Mick Schumacher,-12,17,DNF,0,0
Nikita Mazepin,2,19,18,0,1
