Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,44,1,1,0,1
Max Verstappen,41,2,2,1,1
Valtteri Bottas,27,3,3,0,0
Sergio Perez,23,8,5,0,0
Daniel Ricciardo,23,7,6,0,1
Charles Leclerc,28,4,4,0,1
Sebastian Vettel,3,13,13,0,0
Fernando Alonso,-5,10,17,0,0
Carlos Sainz,13,6,7,0,0
Lance Stroll,8,11,11,0,1
Lando Norris,12,9,8,0,0
Piere Gasly,13,12,10,0,1
Esteban Ocon,9,5,9,0,1
Kimi Raikkonen,15,17,12,0,1
Yuki Tsunoda,-14,16,DNF,0,0
Antonio Giovinazzi,4,14,15,0,0
Nicholas Latifi,8,19,16,0,0
George Russell,10,15,14,0,1
Mick Schumacher,7,18,18,0,1
Nikita Mazepin,4,20,19,0,0
