Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,38,3,2,1,1
Max Verstappen,44,1,1,0,1
Valtteri Bottas,34,2,3,0,0
Sergio Perez,22,5,4,0,0
Daniel Ricciardo,3,13,13,0,0
Charles Leclerc,16,7,7,0,0
Sebastian Vettel,7,14,12,0,0
Fernando Alonso,11,9,9,0,1
Carlos Sainz,24,12,6,0,1
Lance Stroll,16,10,8,0,1
Lando Norris,22,4,5,0,1
Piere Gasly,-5,6,DNF,0,0
Esteban Ocon,8,17,14,0,0
Kimi Raikkonen,15,18,11,0,1
Yuki Tsunoda,13,8,10,0,1
Antonio Giovinazzi,5,15,15,0,0
Nicholas Latifi,4,16,17,0,1
George Russell,-11,11,DNF,0,0
Mick Schumacher,13,19,16,0,1
Nikita Mazepin,6,20,18,0,0
