Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,36,1,5,0,0
Max Verstappen,35,3,2,0,1
Valtteri Bottas,46,2,1,1,1
Sergio Perez,29,7,3,0,0
Daniel Ricciardo,12,16,13,0,0
Charles Leclerc,26,4,4,0,1
Sebastian Vettel,-7,11,18,0,0
Fernando Alonso,1,6,16,0,0
Carlos Sainz,17,15,8,0,0
Lance Stroll,11,9,9,0,1
Lando Norris,18,8,7,0,1
Piere Gasly,19,5,6,0,1
Esteban Ocon,11,12,10,0,1
Kimi Raikkonen,12,19,12,0,0
Yuki Tsunoda,-5,10,14,0,0
Antonio Giovinazzi,17,18,11,0,1
Nicholas Latifi,0,17,17,0,0
George Russell,6,13,15,0,1
Mick Schumacher,3,14,19,0,1
Nikita Mazepin,0,20,20,0,0
