Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,41,2,2,1,1
Max Verstappen,44,1,1,0,1
Valtteri Bottas,35,4,6,0,0
Sergio Perez,37,3,3,0,0
Daniel Ricciardo,25,7,5,0,1
Charles Leclerc,27,5,4,0,1
Sebastian Vettel,19,12,10,0,1
Fernando Alonso,-13,14,DNF,0,1
Carlos Sainz,21,6,7,0,0
Lance Stroll,4,16,12,0,0
Lando Norris,19,8,8,0,0
Piere Gasly,-8,9,DNF,0,0
Esteban Ocon,-11,11,DNF,0,0
Kimi Raikkonen,6,18,13,0,0
Yuki Tsunoda,12,10,9,0,1
Antonio Giovinazzi,10,13,11,0,1
Nicholas Latifi,1,17,15,0,0
George Russell,18,15,14,0,1
Mick Schumacher,7,19,16,0,1
Nikita Mazepin,2,20,17,0,0
